File created on 2025-11-10T15:36:18.913383
Source data: ac_h0s_mfi_20120122000004_20120122235948_cdaweb.cdf
Ballistically propagted from L1 to upstream BATS-R-US boundary

File created on 2025-11-10 15:36:18.913263#COOR
GSM

#SATELLITEXYZ
208.861
  0.000
  0.000


#START
2012 01 22 01 59 06 390        0.11      -7.11       9.85    -317.88      13.18      -6.63     551.57  213405.47
2012 01 22 01 59 10 974        0.10      -7.11       9.86    -317.84      13.25      -6.66     551.54  213375.48
2012 01 22 01 59 21 462        0.07      -7.12       9.89    -317.95      12.87      -6.29     551.46  213285.54
2012 01 22 01 59 35 447        0.13      -7.18       9.85    -318.11      12.35      -5.80     551.35  213165.61
2012 01 22 01 59 49 431        0.24      -7.16       9.82    -318.26      11.84      -5.31     551.24  213045.69
2012 01 22 02 00 03 417        0.26      -7.13       9.93    -318.41      11.32      -4.82     551.13  212925.76
2012 01 22 02 00 06 915        0.28      -7.12       9.93    -318.45      11.19      -4.70     551.10  212895.78
2012 01 22 02 00 15 410        0.34      -7.08       9.93    -318.72      11.89      -5.55     551.02  212805.84
2012 01 22 02 00 26 743        0.28      -6.89      10.02    -319.08      12.82      -6.68     550.91  212685.91
2012 01 22 02 00 38 089        0.27      -7.12       9.90    -319.43      13.74      -7.81     550.80  212565.99
2012 01 22 02 00 49 443        0.19      -7.18       9.77    -319.79      14.67      -8.94     550.70  212446.06
2012 01 22 02 00 52 284        0.18      -7.16       9.80    -319.88      14.90      -9.22     550.67  212416.08
2012 01 22 02 01 02 282        0.16      -7.07       9.86    -320.04      14.73      -8.89     550.59  212326.13
2012 01 22 02 01 15 613        0.25      -7.27       9.75    -320.24      14.49      -8.45     550.48  212206.21
2012 01 22 02 01 28 950        0.29      -7.25       9.73    -320.45      14.25      -8.01     550.37  212086.28
2012 01 22 02 01 42 288        0.19      -7.22       9.76    -320.65      14.01      -7.57     550.26  211966.36
2012 01 22 02 01 45 624        0.19      -7.21       9.78    -320.70      13.95      -7.46     550.23  211936.37
2012 01 22 02 01 56 817        0.17      -7.16       9.84    -320.77      13.78      -7.17     550.15  211846.43
2012 01 22 02 02 11 738        0.26      -7.05       9.86    -320.85      13.55      -6.77     550.04  211726.50
2012 01 22 02 02 26 663        0.40      -6.92       9.99    -320.93      13.31      -6.38     549.93  211606.58
2012 01 22 02 02 41 586        0.36      -7.06       9.89    -321.02      13.08      -5.99     549.82  211486.65
2012 01 22 02 02 45 317        0.36      -7.05       9.88    -321.04      13.02      -5.89     549.80  211456.67
2012 01 22 02 03 03 423        0.35      -7.02       9.87    -320.57      13.48      -6.39     549.71  211366.73
2012 01 22 02 03 27 596        0.37      -6.99       9.89    -319.94      14.09      -7.07     549.60  211246.80
2012 01 22 02 03 51 799        0.37      -7.00       9.91    -319.30      14.70      -7.75     549.50  211126.88
2012 01 22 02 04 16 037        0.41      -6.99       9.92    -318.67      15.31      -8.42     549.39  211006.95
2012 01 22 02 04 22 101        0.39      -6.99       9.92    -318.52      15.47      -8.59     549.36  210976.97
